Rank_x,Title,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,Rank_y,Worldwide,Domestic,%,Foreign,%.1
55,Air,-,-,-,"$1,576,191",299,"$1,798,861",Apr 7,Warner Bros.,False,42,"$90,060,106","$52,460,106",58.3%,"$37,600,000",41.7%
57,Haunted Mansion,-,-,-,"$1,561,026",289,"$1,561,026",Jul 28,Walt Disney Studios Motion Pictures,False,36,"$117,431,902","$67,653,287",57.6%,"$49,778,615",42.4%
60,Knock at the Cabin,-,-,-,"$1,414,341",323,"$1,414,341",Feb 3,Universal Pictures International (UPI),False,54,"$54,760,947","$35,397,980",64.6%,"$19,362,967",35.4%
61,Shazam! Fury of the Gods,-,-,-,"$1,402,279",333,"$1,402,279",Mar 17,Warner Bros.,False,30,"$133,838,006","$57,638,006",43.1%,"$76,200,000",56.9%
62,The Marvels,-,-,-,"$1,379,499",332,"$1,656,391",Nov 10,Walt Disney Studios Motion Pictures,False,27,"$161,324,806","$65,024,806",40.3%,"$96,300,000",59.7%
63,No Hard Feelings,-,-,-,"$1,342,820",336,"$1,342,820",Jun 23,Sony Pictures Entertainment (SPE),False,44,"$87,242,276","$50,452,282",57.8%,"$36,789,994",42.2%
64,Expend4bles,-,-,-,"$1,298,370",313,"$1,298,370",Sep 29,Vértice 360,False,66,"$37,821,395","$16,710,153",44.2%,"$21,111,242",55.8%
65,After Everything,-,-,-,"$1,289,204",322,"$1,289,204",Sep 15,Sun Distribution,False,135,"$10,629,210",-,-,"$10,629,210",100%
68,The Boogeyman,-,-,-,"$1,190,241",264,"$1,190,241",Jun 2,Walt Disney Studios Motion Pictures,False,50,"$67,307,243","$43,244,282",64.2%,"$24,062,961",35.8%
70,The Boy and the Heron,-,-,-,"$1,137,276",151,"$1,139,566",Oct 27,Vértigo Films,False,46,"$77,946,664",-,-,"$77,946,664",100%
71,65,-,-,-,"$1,123,267",334,"$1,123,267",Mar 24,Sony Pictures Releasing,False,51,"$60,730,568","$32,062,904",52.8%,"$28,667,664",47.2%
76,Plane,-,-,-,"$975,043",253,"$975,043",Feb 10,DeAPlaneta,False,48,"$74,191,973","$32,111,181",43.3%,"$42,080,792",56.7%
82,Asteroid City,-,-,-,"$899,964",171,"$899,964",Jun 16,Universal Pictures International (UPI),False,57,"$53,790,731","$28,153,025",52.3%,"$25,637,706",47.7%
83,Cocaine Bear,-,-,-,"$851,679",290,"$851,679",Mar 31,Universal Pictures International (UPI),False,43,"$88,030,527","$64,388,510",73.1%,"$23,642,017",26.9%
85,The Three Musketeers - Part I: D'Artagnan,-,-,-,"$789,412",305,"$790,284",Apr 14,DeAPlaneta,False,73,"$31,399,805",-,-,"$31,399,805",100%
87,Hypnotic,-,-,-,"$734,602",224,"$734,602",Oct 27,Sun Distribution,False,110,"$15,460,906","$4,500,169",29.1%,"$10,960,737",70.9%
88,Asterix & Obelix: The Middle Kingdom,-,-,-,"$727,245",314,"$727,442",Feb 3,Notorious Pictures,False,60,"$46,494,699",-,-,"$46,494,699",100%
90,Cobweb,-,-,-,"$646,418",193,"$646,708",Aug 25,Vértice 360,False,154,"$8,052,474",-,-,"$8,052,474",100%
95,Past Lives,-,-,-,"$536,330",132,"$623,741",Nov 3,Elastica,False,92,"$19,425,947","$10,923,569",56.2%,"$8,502,378",43.8%
96,Epic Tails,-,-,-,"$505,979",259,"$505,979",May 12,Notorious Pictures,False,115,"$14,254,149",-,-,"$14,254,149",100%
98,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,-,-,-,"$499,220",212,"$605,569",Mar 3,Sony Pictures Releasing,False,53,"$56,119,404","$10,117,806",18%,"$46,001,598",82%
99,Mavka: The Forest Song,-,-,-,"$489,590",273,"$898,072",Apr 28,Selecta Visión,False,98,"$17,678,579",-,-,"$17,678,579",100%
100,Missing,-,-,-,"$468,694",277,"$468,694",Feb 24,Sony Pictures Releasing,False,59,"$48,767,848","$32,502,025",66.6%,"$16,265,823",33.4%
104,A Brighter Tomorrow,-,-,-,"$438,119",90,"$439,356",Sep 15,-,False,175,"$6,594,693",-,-,"$6,594,693",100%
105,Strays,-,-,-,"$431,639",297,"$431,639",Sep 22,Universal Pictures International (UPI),False,71,"$35,519,251","$23,988,885",67.5%,"$11,530,366",32.5%
115,Marlowe,-,-,-,"$348,754",151,"$348,754",May 12,Sun Distribution,False,181,"$6,276,005","$4,350,243",69.3%,"$1,925,762",30.7%
116,Retribution,-,-,-,"$345,764",208,"$345,764",Oct 27,-,False,97,"$17,985,822","$6,937,696",38.6%,"$11,048,126",61.4%
117,Kandahar,-,-,-,"$342,344",227,"$342,365",Jun 16,DeAPlaneta,False,142,"$9,334,440","$4,813,132",51.6%,"$4,521,308",48.4%
118,The Crime Is Mine,-,-,-,"$334,991",119,"$338,684",May 5,Caramel Films,False,138,"$10,245,067",-,-,"$10,245,067",100%
120,Beautiful Disaster,-,-,-,"$329,051",291,"$331,841",Apr 14,Sun Distribution,False,170,"$6,850,036",-,-,"$6,850,036",100%
122,Renfield,-,-,-,"$304,782",280,"$304,782",Apr 14,Universal Pictures International (UPI),False,81,"$26,348,651","$17,152,625",65.1%,"$9,196,026",34.9%
127,Book Club: The Next Chapter,-,-,-,"$275,752",267,"$275,752",May 12,Universal Pictures International (UPI),False,77,"$28,978,431","$17,556,340",60.6%,"$11,422,091",39.4%
129,Dumb Money,-,-,-,"$262,766",223,"$262,866",Oct 5,DeAPlaneta,False,88,"$20,036,382","$13,925,356",69.5%,"$6,111,026",30.5%
144,Love Again,-,-,-,"$206,710",248,"$206,710",May 12,Sony Pictures Releasing,False,123,"$12,696,584","$6,230,837",49.1%,"$6,465,747",50.9%
149,Knights of the Zodiac,-,-,-,"$188,036",215,"$188,036",May 26,Sony Pictures Releasing,False,166,"$6,986,177","$1,090,155",15.6%,"$5,896,022",84.4%
154,About My Father,-,-,-,"$172,209",243,"$172,209",Jun 9,Sun Distribution,False,96,"$18,167,819","$12,089,391",66.5%,"$6,078,428",33.5%
159,Jeanne du Barry,-,-,-,"$150,955",142,"$150,955",Sep 22,Notorious Pictures,False,121,"$13,365,258",-,-,"$13,365,258",100%
179,Sisu,-,-,-,"$104,247",62,"$104,247",Apr 28,Sony Pictures Entertainment (SPE),False,114,"$14,281,199","$7,265,622",50.9%,"$7,015,577",49.1%
185,Little Bird: The Big Quest,-,-,-,"$96,844",144,"$96,918",Sep 15,Vértigo Films,False,176,"$6,430,957",-,-,"$6,430,957",100%
190,All Your Faces,-,-,-,"$86,899",44,"$86,925",Sep 8,-,False,144,"$9,056,053",-,-,"$9,056,053",100%
196,The Unlikely Pilgrimage of Harold Fry,-,-,-,"$78,604",60,"$79,419",Aug 25,A Contracorriente Films,False,192,"$5,829,176",-,-,"$5,829,176",100%
